Project_name,Tool_name,CWE_ID,Number_of_Findings,Is_In_CWE_Top_25?
aiohttp,Bandit,CWE-703,6849,No
aiohttp,Bandit,CWE-330,4,No
aiohttp,Bandit,CWE-327,14,No
aiohttp,Bandit,CWE-502,26,Yes
aiohttp,Bandit,CWE-259,23,No
aiohttp,Bandit,CWE-605,2,No
aiohttp,Bandit,CWE-78,14,Yes
aiohttp,Bandit,CWE-377,22,No
airbyte,Bandit,CWE-400,131,No
airbyte,Bandit,CWE-259,133,No
airbyte,Bandit,CWE-377,68,No
airbyte,Bandit,CWE-703,5008,No
airbyte,Bandit,CWE-20,6,Yes
airbyte,Bandit,CWE-94,5,Yes
airbyte,Bandit,CWE-330,55,No
airbyte,Bandit,CWE-89,66,Yes
airbyte,Bandit,CWE-78,62,Yes
airbyte,Bandit,CWE-327,5,No
airbyte,Bandit,CWE-22,1,Yes
airbyte,Bandit,CWE-732,1,No
airbyte,Bandit,CWE-295,2,No
airbyte,Bandit,CWE-605,12,No
airbyte,Bandit,CWE-502,2,Yes
